"Namespace","Location","Name"
"type_info","1402aa7b8","vftable"
"ActionDataBase","14020b998","vftable"
"ActionDataSeqent","14020b9b0","vftable"
"ActionDataMoveJnp","14020b9c8","vftable"
"ActionDataAIM","14020b9e0","vftable"
"ActionDataWait1","14020b9f8","vftable"
"ActionDataGrap","14020ba10","vftable"
"ActionDataAtk1","14020ba28","vftable"
"ActionDataDamage1","14020ba40","vftable"
"ActionDataDamage2","14020ba58","vftable"
"ActionDataAtk3","14020ba70","vftable"
"ActionDataDance1","14020ba88","vftable"
"ActionDataDieBoss","14020baa0","vftable"
"ActionDataMoveF","14020bcc0","vftable"
"ActionDataMoveF3","14020bcd8","vftable"
"ActionDataMoveF4","14020bcf0","vftable"
"ActionDataMoveAimBehind","14020bd08","vftable"
"ActionDataAimEscape","14020bd20","vftable"
"ActionCircleMove","14020bd38","vftable"
"BulletBase","14020bd50","vftable"
"BulletBom2","14020bd88","vftable"
"BulletBom3","14020bdc8","vftable"
"BulletHorming","14020be08","vftable"
"BulletAnim","14020bec8","vftable"
"ActionDataMoveJmp","14020c0c0","vftable"
"ActionDataTurn2","14020c0d8","vftable"
"ActionDataMoveF2","14020c0f0","vftable"
"ActionDataWait2","14020c108","vftable"
"EnemyManagerBase","14020c188","vftable"
"SSSCharManager","14020c128","vftable"
"BulletBom","14020c408","vftable"
"BulletStraight","14020c440","vftable"
"BulletBillboard","14020c478","vftable"
"EnemyBoss04","14020c4b8","vftable"
"ActionDataMove4","14020cad0","vftable"
"ActionDataMoveTarget","14020cae8","vftable"
"ActionDataMoveAimTarget","14020cb00","vftable"
"BulletWeakPoint","14020cb18","vftable"
"BulletFloatMine","14020cb58","vftable"
"EnemyBoss05","14020cb98","vftable"
"CKN_BASE","14020ce40","vftable"
"CBoss07::CKN_ENB06_DANGER","14020ce60","vftable"
"CBoss07::CBos07BOM","14020ce80","vftable"
"ActionDataNop","14020cfe0","vftable"
"ActionDataAIM3","14020d078","vftable"
"BulletNormal","14020d090","vftable"
"ActionDataMove1","14020d8b8","vftable"
"ActionDataMove2","14020d8d8","vftable"
"ActionDataMove3","14020d8f0","vftable"
"ActionDataMovePat","14020d908","vftable"
"ActionDataMoveBari","14020d928","vftable"
"ActionDataMoveR","14020d948","vftable"
"ActionDataMoveThink","14020d960","vftable"
"ActionDataMoveChase","14020d980","vftable"
"ActionDataMoveStalking","14020d9a0","vftable"
"ActionDataTurn","14020d9c0","vftable"
"ActionDataAIM2","14020d9d8","vftable"
"ActionDataWait3","14020d9f0","vftable"
"ActionDataAtkHukitobi","14020da08","vftable"
"ActionDataAvoid1","14020da20","vftable"
"ActionDataDown1","14020da38","vftable"
"ActionDataDie1","14020da50","vftable"
"EnemyZakoTeisatu","14020dc88","vftable"
"EnemyZakoTate","14020df08","vftable"
"EnemyZakoBakudan","14020e188","vftable"
"EnemyZakoHuryou","14020e408","vftable"
"EnemyZakoBall","14020e688","vftable"
"EnemyZakoBousou","14020e908","vftable"
"EnemyZakoHikou","14020eb88","vftable"
"EnemyBoss01","14020ee08","vftable"
"EnemyBoss02","14020f088","vftable"
"EnemyBoss03","14020f308","vftable"
"EnemyBoss07","14020f588","vftable"
"EnemyBossKotoko","14020f818","vftable"
"EnemyBossSirokuma","14020fa98","vftable"
"EnemyBossJeno","14020fd18","vftable"
"EnemyMKids","14020ff98","vftable"
"FriendNPC","140210218","vftable"
"ActionDataMoveThinkSeq","1402104c8","vftable"
"CPWSAVE","1402104f8","vftable"
"CGetTskMem","1402109b0","vftable"
"`public:_int___cdecl_CEvtHnd::SetData(void)___ptr64'::__l23::_CGetTskMem","1402109f0","vftable"
"ActionDataAtk2","140210e88","vftable"
"ActionDataDie2","140210ea0","vftable"
"BulletBomNoeffect","140210eb8","vftable"
"ActionDataAIM3Wait","140210f58","vftable"
"ActionDataAtkHukitobiBall","140210f70","vftable"
"ActionDataCall","140211040","vftable"
"CBchunk","1402118d0","vftable"
"CBcDSOCHR","140211910","vftable"
"CBcCAMPOS","140211928","vftable"
"CBcCAMTRG","140211940","vftable"
"CBcDSOMAP","140211958","vftable"
"CBcMSCRIPT","140211970","vftable"
"CBcRect00","140211988","vftable"
"CBcPOSTPLY","1402119a0","vftable"
"CBcPOSTENM","1402119b8","vftable"
"CBcPOSTWCM","1402119d0","vftable"
"CBcPOSTTBX","1402119e8","vftable"
"CBcPOSTNPC","140211a00","vftable"
"CBcPOSTOBJ","140211a18","vftable"
"CBcPOSTSAV","140211a30","vftable"
"CBcPOSTPTC","140211a48","vftable"
"CBcEVTMDL","140211a60","vftable"
"CBcPLIST","140211a78","vftable"
"CBcEVTPTC","140211a90","vftable"
"CBcCOLOR","140211aa8","vftable"
"CBcEVTSE","140211ac0","vftable"
"CEvtAct","140211ad8","vftable"
"CAWORK_MNG::CDefGetTskMem","140211b50","vftable"
"CEvtIF","140211b80","vftable"
"CEmitList","140211ba0","vftable"
"CEvtActDsoChr","140211bb8","vftable"
"_C_OBJTYP_DSOCHR","140211c30","vftable"
"CEiCamPos::CEvtActCamPos","140211c58","vftable"
"CEiCamPos::CEvtIFCamPos","140211cd0","vftable"
"CEiCamPos::CEvtActCamTrg","140211cf8","vftable"
"CEiCamPos::CEvtIFCamTrg","140211d70","vftable"
"CEiDsoMap::CEvtActDsoMap","140211d98","vftable"
"CEiDsoMap::CEvtIFDsoMap","140211e10","vftable"
"CEiDsoMScript::CEvtActMScript","140211e38","vftable"
"CEiDsoMScript::CEvtIFMScript","140211eb0","vftable"
"CEiDsoRect00::CEvtActRect00","140211ed8","vftable"
"CEiDsoRect00::CEvtIFRect00","140211f60","vftable"
"CEiDsoPostPly::CEvtActPOSTPLY","140211f88","vftable"
"CEiDsoPostPly::CEvtIFPOSTPLY","140212000","vftable"
"CEiDsoPostEnm::CEvtActPOSTENM","140212028","vftable"
"CEiDsoPostEnm::CEvtIFPOSTENM","1402120a0","vftable"
"CEiDsoPostWCM::CEvtActPOSTWCM","1402120c8","vftable"
"CEiDsoPostWCM::CEvtIFPOSTWCM","140212140","vftable"
"CEiDsoPostTBX::CEvtActPOSTTBX","140212168","vftable"
"CEiDsoPostTBX::CEvtIFPOSTTBX","1402121e0","vftable"
"CEiDsoPostNPC::CEvtActPOSTNPC","140212208","vftable"
"CEiDsoPostNPC::CEvtIFPOSTNPC","140212280","vftable"
"CEiDsoPostOBJ::CEvtActPOSTOBJ","1402122a8","vftable"
"CEiDsoPostOBJ::CEvtIFPOSTOBJ","140212320","vftable"
"CEiDsoPostSAV::CEvtActPOSTSAV","140212348","vftable"
"CEiDsoPostSAV::CEvtIFPOSTSAV","1402123c0","vftable"
"CEiDsoPostPTC::CEvtActPOSTPTC","1402123e8","vftable"
"CEiDsoPostPTC::CEvtIFPOSTPTC","140212460","vftable"
"CEiEvtMdl::CEvtActEvtMdl","140212488","vftable"
"CEiEvtMdl::CEvtIFEvtMdl","140212510","vftable"
"CEiEvtPlist::CEvtActPlist","140212538","vftable"
"CEiEvtPlist::CEvtIFEvtPlist","1402125c0","vftable"
"CEiEvtPtc::CEvtActEvtPtc","1402125e8","vftable"
"CEiEvtPtc::CEvtIFEvtPtc","140212660","vftable"
"CEiEvtColor::CEvtColor","140212688","vftable"
"CEiEvtColor::CEvtIFEvtColor","140212700","vftable"
"CEiEvtSe::CEvtActEvtSe","140212728","vftable"
"CEiEvtSe::CEvtIFEvtSe","1402127a0","vftable"
"CMAPPRG","1402127e8","vftable"
"CEvtCB","140213500","vftable"
"CEvtHndCB_Ev8","140213528","vftable"
"CLoadFile","140213618","vftable"
"CFLASH","140213668","vftable"
"CFLASH::CLOAD_FLASH","140213648","vftable"
"CFLASH_KOMARU","1402136f8","vftable"
"CFLASH_CLEAR","140213778","vftable"
"CFLASH_GAMEOVER","1402137f8","vftable"
"CFLASH_TARGET","140213bd8","vftable"
"CFLASH_DANGER","140213cd8","vftable"
"CFLASH_HEART","140213db8","vftable"
"CMAPPRG_TENTACLE","1402140b8","vftable"
"CMAPPRG_TENTACLE::CLoad","140214038","vftable"
"CMAPPRG_TENTACLE::CLoadTex","140214050","vftable"
"CMAPPRG_TENTACLE::CTentacle::CIfCTentacle","140214068","vftable"
"CMAPPRG_TENTACLE::CIfCTentacle","140214090","vftable"
"CBOM","140214340","vftable"
"CReqChgPlyAct","140214440","vftable"
"CCamAlg","140214460","vftable"
"CMAPBTL_SUBPRG","140214478","vftable"
"mgame_bridge::CTrMKumaAlg","1402144e8","vftable"
"mgame_bridge::CSUB_BRIDGE","140214518","vftable"
"mgame_bridge::CSUB_BRIDGE::CCamAlg_Bridge","140214500","vftable"
"CGenerator","140214588","vftable"
"mgame_secretbase::CSBGenerator","140214598","vftable"
"mgame_secretbase::CSUB_SECRETBASE","1402145a8","vftable"
"mgame_prologue::CSUB_PROLOGUE","140214638","vftable"
"mgame_secretfactory::CSUB_SECRETFACTORY","1402146a8","vftable"
"mgame_secretfactory_b3::CSUB_SECRETFACTORY","140214738","vftable"
"CMpBs7::CPyAlg","1402147a8","vftable"
"CMpBs7::CSubPlyAlg","1402147c8","vftable"
"CMpBs7::CCamAlg_Boss07","1402147e8","vftable"
"CSUB_BOSS07","140214808","vftable"
"mgame_chp5sideview::CSUB_CHP5SIDEVIEW","140214878","vftable"
"CThread","140214fe8","vftable"
"CMAPPRG00_START","140215000","vftable"
"FLS_WORK_BASE","140231670","vftable"
"FLS_WORK","1402316a0","vftable"
"CEvtHndCB_SCR","1402316b8","vftable"
"CThread_MapLoad","140233b58","vftable"
"CThread_Datset","140234150","vftable"
"OmakeFl::CDialog::CResult","140239f48","vftable"
"OmakeFl::CFLASH_TAB","140239f68","vftable"
"OmakeFl::CGContent","140239fa8","vftable"
"OmakeFl::CGContent_MOVI","14023a008","vftable"
"OmakeFl::CGContent_CG","14023a058","vftable"
"OmakeFl::CGContent_BGM","14023a0a8","vftable"
"OmakeFl::CFLASH_CUR","14023a0f8","vftable"
"OmakeFl::CFLASH_BNV","14023a168","vftable"
"OmakeFl::CFLASH_IMAGE_BGM","14023a1c8","vftable"
"OmakeFl::CFLASH_IMAGE_CG","14023a2b8","vftable"
"OmakeFl::CFLASH_RC1","14023a318","vftable"
"OmakeFl::CFLASH_RC2","14023ab58","vftable"
"OmakeFl::CFLASH_RC3","14023ac38","vftable"
"OmakeFl::CFLASH_RC4","14023aca8","vftable"
"OmakeFl::CGContent_REC","14023ad18","vftable"
"OmakeFl::CFLASH_TOP","14023ad78","vftable"
"OmakeFl::CFLASH_TOP::CResCDialog","14023ad60","vftable"
"OmakeFl::CFLASH_MEDAL","14023b068","vftable"
"OmakeFl::CFLASH_SHADOW","14023b0c8","vftable"
"cMemMng","14023d2e8","vftable"
"SettingDlg","14023dc00","vftable"
"CThreadDX11","14023df50","vftable"
"CInit2Thread","14023df60","vftable"
"CCallback<class_CSteamAchievements\,struct_UserStatsReceived_t\,0>","14028ff50","vftable"
"CCallbackImpl<24>","14028ff30","vftable"
"CCallback<class_CSteamAchievements\,struct_UserStatsStored_t\,0>","14028ff90","vftable"
"CCallbackImpl<16>","14028ff70","vftable"
"CCallback<class_CSteamAchievements\,struct_UserAchievementStored_t\,0>","14028ffd0","vftable"
"CCallbackImpl<152>","14028ffb0","vftable"
"CriAllocator","140291350","vftable"
"CriMvEasyPlayer","140291360","vftable"
"CriMvSoundInterface","140291d38","vftable"
"CriManaSound","140291d98","vftable"
"CriManaSound","140291e40","vftable"
"CriManaSoundAtomVoice","140291e58","vftable"
"CriManaSoundAtomVoice","140291f38","vftable"
"CriManaSoundAtomVoice_Float32","140291f48","vftable"
"CriManaSoundAtomVoice_Float32","140292028","vftable"
"CriMvFileReaderInterface","140293338","vftable"
"CriManaFileReader","140293398","vftable"
"CriManaFileReader","1402933f8","vftable"
"CriMvSystemTimerInterface","140293458","vftable"
"CriManaSystemTimer","140293488","vftable"
"CriManaSystemTimer","1402934e0","vftable"
"CriMvEasyFileReaderMem","140293518","vftable"
"CriMvEasyFileReaderMem","140293578","vftable"
"std::bad_alloc","1402aa4e0","vftable"
"std::exception","1402affd8","vftable"
"std::bad_exception","1402b0050","vftable"
